timestamp,fruit_id,scan_no,nm410,nm435,nm460,nm485,nm510,nm535,nm560,nm585,nm610,nm645,nm680,nm705,nm730,nm760,nm810,nm860,nm900,nm940,label,diameter_cm,rotasi_buah,jarak_cm,ratio_810_680,ratio_730_680,ratio_860_810,red_edge_slope,ndvi_like
"2026-08-28T17:27:28,848",BOSOK_002,13,34.006714,69.011261,95.217476,42.956512,30.387096,25.068272,15.964996,20.591967,25.429148,14.30372,31.408895,16.682638,50.862942,51.575317,53.419247,49.825253,25.071474,28.808496,anomali,8.0,e,3,1.7007675689426294,1.619379663187876,0.9327208163902391,0.38908093999999993,0.25946989862516395
"2026-08-28T17:27:42,221",BOSOK_002,14,16.588642,33.573044,71.648796,0.0,25.32258,22.979248,17.509996,22.098696,27.740889,13.883022,24.316565,17.516769,46.167904,49.038826,58.20306,55.618889,23.848475,24.307169,anomali,8.0,f,3,2.3935550134013526,1.8986186993850902,0.9556006066346672,0.43702678,0.4106476597963623
"2026-08-28T17:27:53,942",BOSOK_002,15,14.929777,39.168552,80.133522,0.0,26.769585,24.371929,15.449996,18.080751,24.273277,13.041628,25.329754,17.099705,43.037876,44.81134,52.621944,50.983978,22.625477,21.606373,anomali,8.0,g,3,2.0774747052518925,1.6991029209747077,0.9688727636377774,0.3541624399999999,0.35011663888108774
"2026-08-28T17:28:22,006",BOSOK_002,16,10.782617,24.2472,85.790001,58.493973,24.599077,20.890226,20.084995,26.116642,25.429148,16.827906,34.448463,21.270363,43.037876,44.81134,55.013851,53.301434,26.905972,24.307169,anomali,8.0,h,3,1.5969895385493575,1.2493406021218996,0.9688728082546323,0.17178826,0.22987764100561492
"2026-08-28T17:30:16,308",BOSOK_003,17,25.712395,58.752831,78.248024,0.0,25.32258,20.890226,13.389997,17.076265,24.273277,12.200233,30.395704,16.682638,40.690353,43.120346,53.419247,48.666527,23.848475,25.207434,anomali,7.0,a,3,1.757459851082952,1.3386871912270264,0.9110296498508019,0.20589298000000006,0.2746949079890403
"2026-08-28T17:30:44,208",BOSOK_003,18,36.49501,54.089905,72.591545,0.0,25.32258,21.586567,14.934997,27.623371,24.273277,148.506271,31.408895,17.933836,53.99297,60.875786,64.581474,61.412521,31.186468,79.223366,anomali,6.5,b,3,2.0561517187561935,1.7190338217776135,0.9509307807172718,0.45168149999999996,0.3455823317459763
"2026-08-28T17:31:11,755",BOSOK_003,19,26.541826,48.4944,70.706047,0.0,25.32258,20.890226,14.419996,24.10767,20.805666,84.560226,26.342943,16.265572,47.732918,49.884323,60.594967,57.93634,30.574968,57.616993,anomali,7.0,c,3,2.30023441183682,1.8119805323268046,0.9561244655642002,0.42779949999999994,0.39398255674853955
"2026-08-28T17:31:42,002",BOSOK_003,20,26.541826,56.887661,81.076271,0.0,28.940092,22.979248,18.024996,25.614399,26.585018,16.407209,31.408895,17.933836,52.427956,55.802803,62.189571,61.412521,28.740471,30.609028,anomali,7.5,d,3,1.9799980610594352,1.669206742482745,0.9875049809388489,0.42038122,0.3288587305630916
"2026-08-28T17:31:59,716",BOSOK_003,21,16.588642,36.3708,66.935059,0.0,25.32258,20.193886,20.599995,32.143559,26.585018,21.034883,29.382515,21.270363,46.167904,48.193329,64.581474,62.571247,33.632465,32.409557,anomali,7.5,e,3,2.197955213175178,1.5712708148806136,0.9688728583567389,0.33570777999999996,0.3746004786365042
"2026-08-28T17:32:43,077",BOSOK_003,22,61.377972,42.898891,65.049561,0.0,26.046082,16.015841,13.389997,42.690662,18.493925,81.194649,28.369324,12.929045,29.73526,31.28339,40.662411,40.555439,26.905972,90.926819,anomali,7.0,f,3,1.4333227209352184,1.0481479755569871,0.9973690204033842,0.02731872000000003,0.17807875202922946
"2026-08-28T17:33:46,369",BOSOK_003,23,52.254219,39.168552,65.049561,0.0,23.875576,15.319499,13.389997,38.170475,18.493925,66.47023,28.369324,12.511978,28.952753,31.28339,39.865108,39.396713,25.071474,73.82177,anomali,7.0,g,3,1.4052183248291976,1.0205651285292776,0.9882502542699108,0.011668580000000048,0.16847480045341326
"2026-08-28T17:34:04,936",BOSOK_003,24,12.441481,30.775291,51.851101,0.0,16.640553,14.623158,12.359997,17.076265,16.182184,12.200233,24.316565,12.094913,30.517767,32.128887,39.865108,38.237984,18.95648,19.805841,anomali,7.0,h,3,1.6394211767076572,1.2550191381804385,0.959184016462713,0.12402403999999997,0.24225826237682171
"2026-08-28T17:35:51,065",BOSOK_004,25,11.612049,26.112368,72.591545,0.0,21.705069,18.801203,12.874997,14.062807,23.117407,12.200233,27.356134,13.34611,33.647793,34.665379,41.459713,41.714165,17.121983,16.204779,anomali,9.5,a,3,1.5155539830467335,1.2299903451305125,1.0061370887596137,0.12583318,0.20494664478275695
"2026-08-28T17:36:13,634",BOSOK_004,26,8.294321,19.584276,73.534286,0.0,18.81106,13.926817,10.814998,12.556078,18.493925,13.041628,17.224232,11.26078,24.257711,26.210407,34.283993,33.603077,14.064486,13.503983,anomali,9.0,b,3,1.9904500296732943,1.4083470843013004,0.98013866700455,0.14066958,0.33120453457587895
"2026-08-28T17:36:50,226",BOSOK_004,27,7.464889,21.449446,76.362534,0.0,21.705069,17.408522,12.359997,13.560564,19.649796,12.200233,24.316565,11.677847,25.822725,25.36491,31.892088,32.444351,13.452986,11.703452,anomali,9.0,c,3,1.311537007164866,1.0619392328072517,1.0173162957168889,0.030123199999999954,0.13477500790225166
"2026-08-28T17:37:08,818",BOSOK_004,28,6.635457,18.651691,79.190773,56.666035,21.705069,18.104862,12.359997,12.556078,20.805666,13.041628,23.303373,10.843715,23.475204,24.519413,30.297483,30.126898,12.229987,10.803186,anomali,9.0,d,3,1.3001323885034202,1.0073732213043918,0.9943693361031555,0.003436620000000019,0.1304850186562284
"2026-08-28T17:37:36,455",BOSOK_004,29,6.635457,17.719107,64.106819,49.35429,20.258064,17.408522,12.874997,13.560564,20.805666,11.358837,18.237423,12.094913,26.605232,27.901402,35.081295,34.761803,14.064486,12.603717,anomali,9.5,e,3,1.92358732722966,1.45882548273104,0.9908925280858281,0.16735618000000002,0.31590911171024183
"2026-08-28T17:38:42,981",BOSOK_004,30,7.464889,18.651691,73.534286,0.0,18.087557,13.926817,10.299997,11.551591,16.182184,10.517442,14.184662,10.843715,25.040218,25.36491,31.892088,31.285624,14.064486,12.603717,anomali,9.5,f,3,2.2483486399967516,1.7653011645246361,0.9809835652706196,0.21711112,0.38430275913497386
"2026-08-28T17:39:21,040",BOSOK_004,31,7.464889,19.584276,59.393078,0.0,18.087557,16.712181,11.844997,12.556078,17.338055,9.255348,21.276993,10.843715,28.170246,28.746899,35.081295,35.920532,14.675985,13.503983,anomali,9.0,g,3,1.648789305523903,1.3239762197711773,1.0239223426836601,0.13786505999999996,0.244938234295152
"2026-08-28T17:40:09,043",BOSOK_004,32,7.464889,19.584276,64.106819,0.0,19.534561,16.712181,11.329997,12.053835,17.338055,9.676046,22.290184,10.843715,26.605232,27.901402,34.283993,34.761803,14.064486,12.603717,anomali,9.0,h,3,1.5380751284623186,1.193584587016156,1.013936528940334,0.08630096000000002,0.21200143804099209
"2026-08-28T17:43:31,767",BOSOK_005,33,15.75921,35.438213,67.877808,0.0,23.875576,20.193886,21.629995,28.627857,28.896757,17.248604,36.474846,23.355694,54.775478,58.339294,71.757195,69.523605,31.186468,28.808496,anomali,6.0,a,3,1.9673057790824449,1.501732535969436,0.9688728121447875,0.36601264,0.32598799222607355
"2026-08-28T17:43:59,412",BOSOK_005,34,95.384689,142.68544,134.812866,0.0,52.815666,41.780453,14.934997,22.098696,38.143719,23.138371,50.659508,25.441023,86.075752,82.858704,83.716728,76.475967,34.855465,38.711418,anomali,7.0,b,3,1.6525370020299046,1.69910325637129,0.913508682098913,0.7083248799999998,0.24600493750956548
"2026-08-28T17:44:53,710",BOSOK_005,35,109.485031,173.460739,164.980774,0.0,53.539169,37.602406,18.024996,23.605425,40.45546,21.876278,46.606747,24.606892,92.335808,88.777184,86.108635,78.793427,35.466965,45.013275,anomali,6.5,c,3,1.8475568896587249,1.9811678379596331,0.915046648335948,0.9145812200000001,0.29764360715598087
"2026-08-28T17:45:26,982",BOSOK_005,36,88.749229,149.213531,145.18309,0.0,51.36866,38.995087,18.024996,24.10767,41.611332,20.614185,53.699078,28.360485,101.725883,101.459641,102.05468,96.174324,39.747459,48.614338,anomali,7.0,d,3,1.9004918668264905,1.894368913676895,0.9423802472968169,0.9605360999999999,0.31046184385086595
"2026-08-28T17:46:04,814",BOSOK_005,37,31.518419,69.011261,82.019012,0.0,32.557602,27.853634,18.539995,24.10767,30.052628,15.565813,28.369324,20.853298,64.165558,64.257774,70.16259,66.047432,29.351971,30.609028,anomali,6.5,e,3,2.4731842488794413,2.261792892282914,0.9413481256395858,0.7159246800000001,0.4241596459640836
"2026-08-28T17:46:26,549",BOSOK_005,38,36.49501,80.202271,100.873962,0.0,34.728111,27.853634,22.144995,31.641315,32.364368,18.931395,36.474846,22.938627,67.295586,70.176254,76.541008,70.682335,31.797968,33.309826,anomali,6.5,f,3,2.0984594976879416,1.8449856525821513,0.9234569495796356,0.6164148,0.35451803474245
"2026-08-28T17:46:43,861",BOSOK_005,39,38.983307,82.067444,93.331985,0.0,30.387096,27.853634,15.964996,19.587481,25.429148,12.200233,34.448463,18.350903,68.078094,71.021751,69.365288,66.047432,28.128971,30.609028,anomali,6.5,g,3,2.013595435710605,1.9762296575526002,0.9521682152940508,0.67259262,0.33634100781687326
"2026-08-28T17:47:48,060",BOSOK_005,40,48.936493,85.797783,90.503738,0.0,36.175114,28.549974,13.904997,18.582994,28.896757,15.565813,43.567177,22.938627,82.163216,83.704201,86.905937,85.745781,36.078465,38.711418,anomali,6.5,h,3,1.9947566731815847,1.8858967415086956,0.9866503267031886,0.7719207800000001,0.3321661861947905
"2026-08-28T17:48:53,419",BOSOK_006,41,12.441481,20.516861,66.935059,37.472702,17.364056,13.230476,14.934997,20.089724,21.961536,13.883022,23.303373,17.933836,80.598206,96.386658,90.892448,61.412521,30.574968,22.506638,anomali,7.5,a,3,3.9003971225980365,3.4586483001202017,0.675661351352166,1.14589666,0.5918698993486023
"2026-08-28T17:49:10,760",BOSOK_006,42,11.612049,23.314615,56.564838,0.0,20.981565,19.497543,15.449996,19.085238,25.429148,13.041628,30.395704,19.6021,47.732918,52.420815,69.365288,60.253796,25.682974,22.506638,anomali,7.5,b,3,2.2820746372333947,1.570383179681188,0.8686446643680532,0.34674428,0.3906294365407437
"2026-08-28T17:49:41,004",BOSOK_006,43,10.782617,19.584276,60.335827,0.0,18.81106,15.319499,15.449996,19.085238,20.805666,12.200233,25.329754,20.019165,49.297932,52.420815,75.743706,59.095066,29.963469,21.606373,anomali,8.0,c,3,2.990304449737471,1.9462452157074974,0.7801976074160396,0.47936356,0.49878521040189866
"2026-08-28T17:49:56,187",BOSOK_006,44,12.441481,23.314615,71.648796,0.0,26.769585,18.801203,36.049992,70.816277,50.858295,42.91116,26.342943,32.948212,60.253025,62.56678,113.216911,81.110878,44.639454,33.309826,anomali,8.5,d,3,4.2978063621037474,2.287254014384796,0.7164201011967107,0.67820164,0.6224853300229641
"2026-08-28T17:50:10,489",BOSOK_006,45,13.270913,23.314615,58.450333,0.0,20.981565,17.408522,18.539995,24.609913,27.740889,15.565813,29.382515,20.853298,45.385395,48.193329,70.959892,60.253796,28.128971,25.207434,anomali,7.5,e,3,2.415037237269431,1.544639032894552,0.8491245661528676,0.3200576,0.4143549482169639
"2026-08-28T17:50:23,477",BOSOK_006,46,13.270913,27.977537,64.106819,42.042542,21.705069,18.104862,15.449996,20.591967,25.429148,14.724418,29.382515,18.350903,48.515423,53.266312,66.973381,61.412521,26.294474,23.406904,anomali,8.7,f,3,2.2793609807189816,1.65116588856812,0.9169689645847556,0.3826581599999999,0.39012518858989303
"2026-08-28T17:50:37,683",BOSOK_006,47,14.929777,36.3708,70.706047,0.0,23.875576,20.193886,12.874997,17.076265,24.273277,14.724418,31.408895,19.6021,64.165558,73.558243,80.527519,66.047432,25.682974,22.506638,anomali,7.5,g,3,2.563843566020528,2.042909741679947,0.8201845110632912,0.65513326,0.4388082292141117
"2026-08-28T17:50:55,280",BOSOK_006,48,11.612049,22.38203,58.450333,0.0,18.81106,16.015841,16.994995,23.103182,24.273277,16.827906,32.422085,24.606892,53.210464,60.875786,78.932915,72.999786,31.797968,24.307169,anomali,8.0,h,3,2.4345408586335946,1.6411790786499143,0.9248331542255656,0.41576757999999997,0.4176806234402924
"2026-08-28T17:51:21,059",BOSOK_007,49,12.441481,27.044952,64.106819,0.0,25.32258,22.282907,30.384993,62.780388,31.208498,36.600697,26.342943,22.521561,55.557983,60.030289,78.135612,70.682335,33.020966,29.708761,anomali,6.5,a,3,2.966091614710013,2.1090263874365185,0.9046108956552492,0.5843008,0.49572530978004903
"2026-08-28T17:51:35,910",BOSOK_007,50,13.270913,25.179783,69.763298,0.0,25.32258,25.068272,26.779993,35.65926,34.676109,19.772791,30.395704,26.275154,58.688011,64.257774,85.311333,75.317245,33.632465,29.708761,anomali,6.5,b,3,2.8066895549813373,1.9307988948705073,0.8828514749791243,0.5658461400000001,0.4746091999046524
"2026-08-28T17:51:42,990",BOSOK_007,51,12.441481,25.179783,72.591545,0.0,26.046082,24.371929,23.174994,35.157017,32.364368,24.400465,23.303373,21.687429,49.297932,50.72982,69.365288,59.095066,29.963469,27.007965,anomali,6.0,c,3,2.9766188025146394,2.1154839192232306,0.8519399138168482,0.51989118,0.49706027401644726
"2026-08-28T17:51:54,428",BOSOK_007,52,15.75921,33.573044,81.076271,0.0,26.046082,22.979248,21.629995,28.627857,31.208498,16.827906,28.369324,19.185034,50.080437,51.575317,65.378777,55.618889,26.905972,27.908232,anomali,7.5,d,3,2.3045580484899646,1.7653018220307888,0.8507176647373406,0.4342222600000001,0.3947754531288636
"2026-08-28T17:52:04,675",BOSOK_007,53,27.371258,61.550583,88.618248,0.0,32.557602,28.549974,19.054995,24.10767,32.364368,15.565813,33.435276,20.019165,59.47052,59.184792,66.176079,57.93634,28.128971,27.908232,anomali,7.5,e,3,1.9792287405587017,1.7786753790591172,0.8754875193667006,0.5207048799999999,0.32868541656868167
"2026-08-28T17:52:29,645",BOSOK_007,54,52.254219,97.921379,115.957916,0.0,34.728111,25.764612,16.994995,20.089724,28.896757,13.041628,31.408895,18.350903,60.253025,63.412277,64.581474,56.777615,26.294474,36.910885,anomali,7.5,f,3,2.0561517187561935,1.9183421071189843,0.8791624391907747,0.5768826,0.3455823317459763
"2026-08-28T17:53:49,394",BOSOK_007,55,22.394667,43.831474,69.763298,42.042542,26.769585,24.371929,15.964996,19.587481,25.429148,13.462325,29.382515,17.099705,52.427956,54.957306,60.594967,55.618889,25.071474,28.808496,anomali,7.5,g,3,2.0622790927600674,1.7843243900924104,0.9178795298494792,0.46090882,0.346891776001047
"2026-08-28T17:53:59,899",BOSOK_007,56,18.247505,41.966305,65.99231,0.0,26.046082,25.068272,19.054995,23.605425,28.896757,14.30372,25.329754,21.687429,57.122997,63.412277,76.541008,71.841064,29.351971,27.908232,anomali,7.5,h,3,3.0217813320329396,2.2551728867272507,0.9385956167972576,0.63586486,0.5027080191362444
"2026-08-28T17:54:28,963",BOSOK_008,57,5.806025,12.1236,64.106819,0.0,16.640553,13.230476,12.359997,14.062807,19.649796,9.676046,21.276993,12.929045,28.170246,29.592396,39.865108,39.396713,15.898984,13.503983,anomali,8.5,a,3,1.8736242129589398,1.3239762197711773,0.9882502542699108,0.13786505999999996,0.30401493661218204
"2026-08-28T17:54:39,119",BOSOK_008,58,6.635457,13.988769,65.04009561,0.0,18.087557,13.926817,11.329997,13.058321,17.338055,9.676046,19.250612,12.929045,28.170246,30.437893,39.067806,41.714165,15.898984,14.404248,anomali,9.0,b,3,2.0294308412476227,1.4633421195429426,1.0677373160557528,0.17839267999999997,0.339810154004837
"2026-08-28T17:54:59,083",BOSOK_008,59,5.806025,13.056184,60.335827,0.0,15.193548,11.837794,10.299997,11.551591,16.182184,8.413953,22.290184,11.677847,26.605232,28.746899,35.878597,38.237984,15.287484,13.503983,anomali,8.5,c,3,1.6096134919238478,1.193584587016156,1.0657599945282155,0.08630096000000002,0.23360315327853384
"2026-08-28T17:55:08,516",BOSOK_008,60,6.635457,14.921353,56.56004838,43.87048,18.087557,14.623158,9.784998,11.049348,15.026314,9.255348,25.329754,10.426649,27.387739,28.746899,33.486691,35.920532,14.064486,12.603717,anomali,8.5,d,3,1.322029332764411,1.081247302580474,1.072680524725323,0.04115969999999997,0.1386846079043696
"2026-08-28T17:55:19,853",BOSOK_008,61,5.806025,14.921353,62.221321,0.0,16.640553,15.319499,11.329997,11.551591,17.338055,8.834651,22.290184,10.843715,25.040218,26.210407,31.892088,32.444351,12.841487,11.703452,anomali,9.0,e,3,1.4307676281328015,1.123373713122461,1.0173162957168889,0.05500067999999999,0.17721483196296534
"2026-08-28T17:55:29,268",BOSOK_008,62,6.635457,19.584276,42.4200363,0.0,11.576036,9.052431,10.299997,11.049348,15.026314,8.413953,13.171472,10.009583,20.345177,22.828419,30.297483,32.444351,13.452986,11.703452,anomali,9.0,f,3,2.300233413369885,1.5446384089504888,1.070859262183838,0.1434741,0.3939824884259378
"2026-08-28T17:55:38,017",BOSOK_008,63,9.123753,24.2472,45.251869,0.0,14.470046,13.230476,6.694998,8.03589,12.714574,7.572558,20.263803,7.924253,24.257711,27.055904,28.702879,31.285624,12.229987,12.603717,anomali,9.5,g,3,1.4164599229177648,1.197095087681672,1.0899817088098693,0.07987816000000002,0.17234319198037718
"2026-08-28T17:55:50,765",BOSOK_008,64,7.464889,19.584276,45.25001869,0.0,13.746543,11.141454,6.694998,8.538133,11.558703,7.993256,13.171472,7.924253,24.257711,26.210407,31.094786,33.603077,12.841487,11.703452,anomali,9.0,h,3,2.360765933552504,1.8416842539055212,1.0806656200606686,0.22172478,0.40489778808550103
"2026-08-28T17:57:53,590",BOSOK_009,65,9.953185,22.38203,52.79385,0.0,18.81106,16.712181,15.449996,18.582994,18.493925,10.517442,21.276993,14.597308,36.777821,39.738361,53.419247,49.825253,23.236977,20.706106,anomali,9.5,a,3,2.510656552522928,1.7285245013125206,0.9327208163902391,0.31001656000000005,0.43030612647890615
"2026-08-28T17:58:15,536",BOSOK_009,66,28.200691,28.910122,56.50064838,0.0,20.981565,18.104862,11.844997,14.56505,17.338055,15.986511,20.263803,11.677847,34.430302,37.20187,44.648922,41.714165,18.95648,22.506638,anomali,6.5,b,3,2.2033820584506976,1.6991028292651535,0.9342701635058146,0.28332998,0.3756600149415981
"2026-08-28T17:58:23,580",BOSOK_009,67,13.270913,29.842707,53.736595,0.0,18.81106,17.408522,12.874997,14.062807,17.338055,8.834651,15.197852,12.094913,36.777821,39.738361,48.635433,45.190346,18.95648,18.00531,anomali,9.0,c,3,3.200149665788517,2.4199338696456123,0.9291648890707133,0.4315993800000001,0.5238266487731834
"2026-08-28T17:58:32,799",BOSOK_009,68,19.90637,42.898891,64.10006819,0.0,21.705069,18.801203,11.329997,12.556078,17.338055,7.993256,15.197852,11.26078,38.342834,40.583858,47.040829,44.03162,18.34498,18.00531,anomali,8.5,d,3,3.0952267496572876,2.5229097355930725,0.9360296486208504,0.4628996400000001,0.5116267146428257
"2026-08-28T17:58:47,452",BOSOK_009,69,28.200691,52.224735,72.591545,0.0,23.875576,21.586567,12.359997,13.560564,19.649796,8.834651,23.303373,12.094913,42.255367,44.81134,47.838131,45.190346,19.56798,24.307169,anomali,8.5,e,3,2.0528406111679147,1.8132717897654602,0.944650963757141,0.37903988,0.34487258733346604
"2026-08-28T17:59:00,173",BOSOK_009,70,17.418074,37.303383,69.70063298,0.0,23.152073,20.890226,11.844997,13.058321,19.649796,10.938139,23.303373,12.929045,39.12534,41.429352,49.432735,46.349072,19.56798,19.805841,anomali,9.0,f,3,2.1212686158056964,1.6789553688406529,0.9376188192664598,0.31643934,0.35923503643678095
"2026-08-28T17:59:15,973",BOSOK_009,71,9.953185,25.179783,56.564838,0.0,18.81106,16.712181,10.299997,10.547105,15.026314,8.413953,20.263803,10.009583,33.647793,35.510876,43.054317,40.555439,16.510483,15.304514,anomali,9.0,g,3,2.1246898103530665,1.6604867504452396,0.9419596548332994,0.2676798,0.35993662478661326
"2026-08-28T17:59:41,304",BOSOK_009,72,9.953185,25.179783,53.73006595,0.0,19.534561,18.104862,12.874997,14.56505,16.182184,9.255348,20.263803,11.677847,34.430302,36.356373,45.446224,42.87289,18.95648,18.00531,anomali,8.0,h,3,2.242728157824986,1.6991028292651535,0.9433760782026513,0.28332998,0.3832355321912237
"2026-08-28T18:01:03,217",BOSOK_010,73,8.294321,19.584276,54.67009344,40.214607,16.640553,12.534136,15.964996,19.085238,24.273277,13.883022,26.342943,15.014374,29.73526,31.28339,42.257015,41.714165,18.95648,16.204779,anomali,8.0,a,3,1.604110784390801,1.1287747429075243,0.9871533786394096,0.06784633999999996,0.2319836650652665
"2026-08-28T18:01:12,584",BOSOK_010,74,11.612049,15.853938,42.42363,0.0,13.746543,10.445113,13.904997,18.582994,19.649796,14.30372,18.237423,14.180243,29.73526,31.28339,40.662411,40.555439,18.95648,18.905577,anomali,9.0,b,3,2.229612632435716,1.6304520488163001,0.9973690204033842,0.22995674000000002,0.38073085558596725
"2026-08-28T18:01:29,404",BOSOK_010,75,8.294321,20.516861,51.851101,0.0,15.91705,12.534136,7.209998,10.547105,16.182184,12.200233,22.290184,10.843715,25.822725,27.901402,34.283993,34.761803,15.898984,15.304514,anomali,9.5,c,3,1.5380751284623186,1.1584791500693083,1.013936528940334,0.07065081999999996,0.21200143804099209
"2026-08-28T18:01:37,859",BOSOK_010,76,9.953185,27.977537,57.507584,0.0,17.364056,14.623158,9.784998,12.053835,17.338055,12.200233,22.290184,11.26078,28.170246,30.437893,37.473202,38.237984,16.510483,15.304514,anomali,9.5,d,3,1.681151900248154,1.2637954609098512,1.0204084987430486,0.11760123999999998,0.25405212916615383
"2026-08-28T18:01:55,165",BOSOK_010,77,9.953185,26.112368,51.85001101,0.0,18.087557,16.015841,11.329997,12.556078,18.493925,10.096744,14.184662,10.843715,28.952753,30.437893,35.878597,35.920532,15.898984,14.404248,anomali,9.0,e,3,2.5293920789990776,2.04112953757408,1.0011685236274641,0.29536182000000005,0.43333037241335554
"2026-08-28T18:02:06,332",BOSOK_010,78,12.441481,27.977537,57.507584,0.0,18.81106,17.408522,11.329997,14.56505,18.493925,18.931395,21.276993,11.26078,32.082779,32.974384,38.270504,37.079258,17.121983,18.00531,anomali,9.5,f,3,1.7986792594802943,1.5078617510182237,0.9688727462609987,0.21611572,0.28537737104594485
"2026-08-28T18:02:15,362",BOSOK_010,79,9.123753,25.179783,67.877808,0.0,20.981565,16.712181,12.874997,14.56505,20.805666,13.462325,25.329754,12.929045,30.517767,32.128887,39.865108,40.555439,17.121983,16.204779,anomali,9.5,g,3,1.573844430607407,1.2048184499468688,1.017316416823349,0.10376025999999997,0.2229524125762529
"2026-08-28T18:02:26,960",BOSOK_010,80,7.464889,17.719107,87.675499,0.0,20.258064,15.319499,14.419996,17.578508,23.117407,14.724418,22.290184,15.014374,31.300274,32.974384,43.85162,42.87289,18.95648,16.204779,anomali,8.5,h,3,1.967305443819825,1.4042172086972415,0.9776806472188149,0.18020180000000002,0.32598797486866626
